county,fips,description,pci,hu,munit,sngpnt,crowd,noveh,f_sngpnt,f_crowd,f_noveh
King,53033023100,"Census Tract 231, King County, Washington",55908,1511,8,39,26,56,0,0,0
King,53033023201,"Census Tract 232.01, King County, Washington",48438,2943,1734,13,166,339,0,0,0
King,53033023202,"Census Tract 232.02, King County, Washington",31235,2017,1005,138,121,409,0,0,0
King,53033023300,"Census Tract 233, King County, Washington",42446,2418,102,217,60,69,0,0,0
King,53033023401,"Census Tract 234.01, King County, Washington",40980,1592,303,116,31,193,0,0,0
King,53033023403,"Census Tract 234.03, King County, Washington",66589,1682,122,10,23,31,0,0,0
King,53033023404,"Census Tract 234.04, King County, Washington",61141,1198,114,35,8,39,0,0,0
King,53033023500,"Census Tract 235, King County, Washington",65900,1643,134,107,18,17,0,0,0
King,53033023601,"Census Tract 236.01, King County, Washington",58120,1852,734,66,11,89,0,0,0
King,53033023603,"Census Tract 236.03, King County, Washington",51220,2761,697,144,144,334,0,0,0
King,53033023604,"Census Tract 236.04, King County, Washington",42158,2835,833,260,67,139,0,0,0
King,53033023700,"Census Tract 237, King County, Washington",73880,1777,285,46,17,23,0,0,0
King,53033023801,"Census Tract 238.01, King County, Washington",62745,1522,567,151,45,37,0,0,0
King,53033023803,"Census Tract 238.03, King County, Washington",75060,3641,3475,82,325,683,0,1,1
King,53033023804,"Census Tract 238.04, King County, Washington",97917,5127,5006,40,359,641,0,0,0
King,53033023900,"Census Tract 239, King County, Washington",84148,3063,634,235,103,71,0,0,0
King,53033024000,"Census Tract 240, King County, Washington",88247,3739,745,104,50,42,0,0,0
King,53033024100,"Census Tract 241, King County, Washington",119331,1890,0,60,0,30,0,0,0
King,53033024200,"Census Tract 242, King County, Washington",112841,1285,0,37,0,13,0,0,0
King,53033024300,"Census Tract 243, King County, Washington",74861,4377,1998,244,26,399,0,0,0
King,53033024400,"Census Tract 244, King County, Washington",71691,1574,707,67,57,179,0,0,0
King,53033024500,"Census Tract 245, King County, Washington",99634,1872,0,38,0,0,0,0,0
King,53033024601,"Census Tract 246.01, King County, Washington",96675,1759,0,41,0,9,0,0,0
King,53033024602,"Census Tract 246.02, King County, Washington",106262,1377,0,112,11,5,0,0,0
King,53033024701,"Census Tract 247.01, King County, Washington",41696,1549,249,108,85,47,0,0,0
King,53033024702,"Census Tract 247.02, King County, Washington",63752,3002,181,188,16,38,0,0,0
King,53033024800,"Census Tract 248, King County, Washington",42168,2393,589,218,76,60,0,0,0
King,53033024901,"Census Tract 249.01, King County, Washington",73791,1873,60,107,14,23,0,0,0
King,53033024902,"Census Tract 249.02, King County, Washington",62069,1442,0,56,0,25,0,0,0
King,53033024903,"Census Tract 249.03, King County, Washington",74882,2479,22,99,20,13,0,0,0
King,53033025001,"Census Tract 250.01, King County, Washington",52339,1956,136,135,28,0,0,0,0
King,53033025003,"Census Tract 250.03, King County, Washington",78579,2825,510,124,0,0,0,0,0
King,53033025005,"Census Tract 250.05, King County, Washington",69970,2099,734,91,77,103,0,0,0
King,53033025006,"Census Tract 250.06, King County, Washington",74920,2556,642,200,9,51,0,0,0
King,53033025101,"Census Tract 251.01, King County, Washington",39088,2221,231,141,183,86,0,0,0
King,53033025102,"Census Tract 251.02, King County, Washington",42230,2966,316,386,8,0,0,0,0
King,53033025200,"Census Tract 252, King County, Washington",47084,3345,269,187,62,182,0,0,0
King,53033025301,"Census Tract 253.01, King County, Washington",48316,3229,1449,242,151,239,0,0,0
King,53033025302,"Census Tract 253.02, King County, Washington",35720,3015,1788,312,324,630,0,1,1
King,53033025400,"Census Tract 254, King County, Washington",31355,3217,1395,371,149,236,0,0,0
King,53033025500,"Census Tract 255, King County, Washington",33398,2034,707,186,115,179,0,0,0
King,53033025601,"Census Tract 256.01, King County, Washington",32528,2019,418,143,182,78,0,1,0
King,53033025602,"Census Tract 256.02, King County, Washington",43454,2154,19,137,48,0,0,0,0
King,53033025701,"Census Tract 257.01, King County, Washington",35524,3097,1326,195,112,287,0,0,0
King,53033025702,"Census Tract 257.02, King County, Washington",42180,1308,176,45,14,8,0,0,0
King,53033025803,"Census Tract 258.03, King County, Washington",28947,1846,767,150,138,103,0,0,0
King,53033025804,"Census Tract 258.04, King County, Washington",29355,1273,0,88,62,81,0,0,0
King,53033025805,"Census Tract 258.05, King County, Washington",31330,2163,858,197,148,89,0,0,0
King,53033025806,"Census Tract 258.06, King County, Washington",35239,1981,516,192,134,22,0,0,0
King,53033026001,"Census Tract 260.01, King County, Washington",44946,2223,41,84,29,52,0,0,0
King,53033026002,"Census Tract 260.02, King County, Washington",26602,3260,1356,467,219,422,0,0,0
King,53033026100,"Census Tract 261, King County, Washington",29017,3112,800,390,181,211,0,0,0
King,53033026200,"Census Tract 262, King County, Washington",46150,2293,1179,211,146,119,0,0,0
King,53033026300,"Census Tract 263, King County, Washington",29150,586,56,43,37,0,0,0,0
King,53033026400,"Census Tract 264, King County, Washington",24641,2540,1017,247,254,162,0,1,0
King,53033026500,"Census Tract 265, King County, Washington",20313,1614,195,322,91,315,1,0,0
King,53033026600,"Census Tract 266, King County, Washington",34199,929,54,146,40,27,0,0,0
King,53033026700,"Census Tract 267, King County, Washington",43274,2197,116,274,159,27,0,0,0
King,53033026801,"Census Tract 268.01, King County, Washington",26939,2223,665,352,137,476,0,0,1
King,53033026802,"Census Tract 268.02, King County, Washington",24650,2026,375,210,114,186,0,0,0
King,53033027000,"Census Tract 270, King County, Washington",31639,1216,45,107,33,51,0,0,0
King,53033027100,"Census Tract 271, King County, Washington",22119,1342,404,150,105,204,0,0,0
King,53033027200,"Census Tract 272, King County, Washington",23988,902,139,111,61,60,0,0,0
King,53033027300,"Census Tract 273, King County, Washington",21944,1898,491,215,263,170,0,1,0
King,53033027400,"Census Tract 274, King County, Washington",31183,1868,116,147,72,108,0,0,0
King,53033027500,"Census Tract 275, King County, Washington",26029,1875,289,125,46,128,0,0,0
King,53033027600,"Census Tract 276, King County, Washington",37170,1826,354,273,140,139,0,0,0
King,53033027701,"Census Tract 277.01, King County, Washington",47797,2821,269,73,55,175,0,0,0
King,53033027702,"Census Tract 277.02, King County, Washington",56516,2840,13,95,15,33,0,0,0
King,53033027800,"Census Tract 278, King County, Washington",55202,1486,39,77,0,24,0,0,0
King,53033027900,"Census Tract 279, King County, Washington",37459,3324,917,109,242,324,0,0,0
King,53033028000,"Census Tract 280, King County, Washington",24815,1626,995,186,181,259,0,1,0
King,53033028100,"Census Tract 281, King County, Washington",21759,824,333,19,81,93,0,1,0
King,53033028200,"Census Tract 282, King County, Washington",29116,1921,808,231,254,192,0,1,0
King,53033028300,"Census Tract 283, King County, Washington",36206,2124,275,97,76,69,0,0,0
King,53033028402,"Census Tract 284.02, King County, Washington",24063,1827,758,169,154,193,0,0,0
King,53033028403,"Census Tract 284.03, King County, Washington",24731,2289,891,152,177,126,0,0,0
King,53033028500,"Census Tract 285, King County, Washington",32155,1785,653,229,67,75,0,0,0
King,53033028600,"Census Tract 286, King County, Washington",51570,2927,638,137,87,334,0,0,0
King,53033028700,"Census Tract 287, King County, Washington",36227,1908,0,94,8,36,0,0,0
King,53033028801,"Census Tract 288.01, King County, Washington",26275,834,223,44,74,120,0,1,0
King,53033028802,"Census Tract 288.02, King County, Washington",26457,2418,815,265,326,220,0,1,0
King,53033028901,"Census Tract 289.01, King County, Washington",45947,1657,625,169,45,57,0,0,0
King,53033028902,"Census Tract 289.02, King County, Washington",25217,2599,965,474,508,181,1,1,0
King,53033029001,"Census Tract 290.01, King County, Washington",41482,2054,490,179,65,139,0,0,0
King,53033029003,"Census Tract 290.03, King County, Washington",30164,2168,763,334,53,202,0,0,0
King,53033029004,"Census Tract 290.04, King County, Washington",19591,1382,592,247,217,136,1,1,0
King,53033029101,"Census Tract 291.01, King County, Washington",36513,1223,202,47,36,50,0,0,0
King,53033029102,"Census Tract 291.02, King County, Washington",32253,1507,160,66,29,32,0,0,0
King,53033029203,"Census Tract 292.03, King County, Washington",18193,1400,545,161,96,317,0,0,1
King,53033029204,"Census Tract 292.04, King County, Washington",29748,2519,878,466,146,172,1,0,0
King,53033029205,"Census Tract 292.05, King County, Washington",33058,2213,534,193,151,149,0,0,0
King,53033029206,"Census Tract 292.06, King County, Washington",19237,2174,1114,221,180,479,0,1,1
King,53033029303,"Census Tract 293.03, King County, Washington",33808,3226,495,252,63,199,0,0,0
King,53033029304,"Census Tract 293.04, King County, Washington",46694,1998,311,123,45,44,0,0,0
King,53033029305,"Census Tract 293.05, King County, Washington",37504,1414,21,116,0,12,0,0,0
King,53033029306,"Census Tract 293.06, King County, Washington",37767,1322,75,42,45,61,0,0,0
King,53033029307,"Census Tract 293.07, King County, Washington",36057,1357,0,107,32,44,0,0,0
King,53033029403,"Census Tract 294.03, King County, Washington",29940,1996,323,196,112,79,0,0,0
King,53033029405,"Census Tract 294.05, King County, Washington",32202,1788,0,179,38,16,0,0,0
King,53033029406,"Census Tract 294.06, King County, Washington",34121,1627,54,165,96,28,0,0,0
King,53033029407,"Census Tract 294.07, King County, Washington",22842,1669,430,262,98,206,0,0,0
King,53033029408,"Census Tract 294.08, King County, Washington",25403,1578,400,146,138,119,0,1,0
King,53033029502,"Census Tract 295.02, King County, Washington",30170,2261,15,242,155,11,0,0,0
King,53033029503,"Census Tract 295.03, King County, Washington",19969,3109,1722,441,456,394,0,1,0
King,53033029504,"Census Tract 295.04, King County, Washington",20562,2223,1002,508,203,311,1,1,0
King,53033029601,"Census Tract 296.01, King County, Washington",24949,2214,105,161,191,89,0,1,0
King,53033029602,"Census Tract 296.02, King County, Washington",41624,1999,8,171,66,26,0,0,0
King,53033029700,"Census Tract 297, King County, Washington",26488,3093,831,324,237,521,0,0,0
King,53033029801,"Census Tract 298.01, King County, Washington",33786,3129,911,339,258,108,0,0,0
King,53033029802,"Census Tract 298.02, King County, Washington",35547,3301,125,129,179,149,0,0,0
King,53033029901,"Census Tract 299.01, King County, Washington",30959,1632,0,80,65,14,0,0,0
King,53033029902,"Census Tract 299.02, King County, Washington",39057,1547,0,79,16,21,0,0,0
King,53033030003,"Census Tract 300.03, King County, Washington",29755,2440,623,84,190,35,0,0,0
King,53033030004,"Census Tract 300.04, King County, Washington",29274,3376,1172,347,301,463,0,1,0
King,53033030005,"Census Tract 300.05, King County, Washington",23399,1912,184,283,158,62,0,0,0
King,53033030006,"Census Tract 300.06, King County, Washington",26026,1757,1063,199,174,337,0,1,0
King,53033030100,"Census Tract 301, King County, Washington",45628,3044,304,315,124,15,0,0,0
King,53033030201,"Census Tract 302.01, King County, Washington",29863,2086,255,92,124,85,0,0,0
