"","CensusTract","CaliforniaCounty","ZIP","Longitude","Latitude","ApproxLocation","CES4.0Score","CES4.0Percentile","CES4.0PercRange","Ozone","OzonePctl","PM2.5","PM2.5.Pctl","DieselPM","DieselPMPctl","DrinkingWater","DrinkingWaterPctl","Lead","LeadPctl","Pesticides","PesticidesPctl","ToxRelease","ToxReleasePctl","Traffic","TrafficPctl","CleanupSites","CleanupSitesPctl","GroundwaterThreats","GroundwaterThreatsPctl","HazWaste","HazWastePctl","ImpWaterBodies","ImpWaterBodiesPctl","SolidWaste","SolidWastePctl","PollutionBurden","PollutionBurdenScore","PollutionBurdenPctl","Asthma","AsthmaPctl","LowBirthWeight","LowBirthWeightPctl","CardiovascularDisease","CardiovascularDiseasePctl","TotalPop","ChildrenPercLess10","PopPerc10to64","ElderlyMore64","HispanicPerc","WhitePerc","AfAmericanPerc","NativeAmericanPerc","AsianAmericanPerc","OtherMultiplePerc","PopChar","PopCharScore","PopCharPctl","Education","EducationPctl","LinguisticIsol","LinguisticIsolPctl","Poverty","PovertyPctl","Unemployment","UnemploymentPctl","HousingBurden","HousingBurdenPctl"
"1355",6037123901,"Los Angeles",91606,-118.3938003,34.1854544,"Los Angeles",44.01,80.85,"80-85%",0.061,84.58,11.49534692,60.71,0.186,59.58,726.64,83.13,63.11,70.22,0,0,1034.570669,64.3,2012.719883,87.28,37.5,92.65,5,30.88,0.24,41.07,0,0,1.2,37.57,55.96,6.83,84.27,67.61,76.86,4.21,31.49,19.2,84.9,4696,10.63,80.81,8.56,51.47,28.83,6.92,0,11.25,1.53,62.09,6.44,68.86,23.3,70.4,12.6,70.31,33,58.62,2.4,9.72,29.6,89.84
"1356",6037123902,"Los Angeles",91607,-118.3922288,34.1758783,"Los Angeles",29.1,57.03,"55-60%",0.059,79.99,11.52942462,61.47,0.233,67.6,726.64,83.13,54.13,57.38,0,0,1057.879344,64.89,2859.984428,95.14,18,79.69,1.75,11.04,0.185,31.38,0,0,0.2,9.67,51.25,6.26,73.39,34.41,32.37,4.71,44.21,13.33,56.01,2668,11.13,77.77,11.09,28.6,52.17,3.22,0,13.91,2.1,44.82,4.65,42.41,4.7,19.75,4.6,35.34,35.9,63.02,6.4,61.53,16.7,47.62
"1357",6037124000,"Los Angeles",91607,-118.4045529,34.1619336,"Los Angeles",27.36,53.66,"50-55%",0.058,78.01,11.54776039,62.04,0.163,54.5,726.64,83.13,42.53,40.57,0,0,1083.012696,65.52,1744.446736,82.74,0,0,0,0,0.22,38.7,6,58.69,0,0,45.37,5.54,57.61,40.05,41.6,3.66,19.34,17.42,78.03,5219,13.83,69.63,16.54,13.95,72.7,2.28,0,5.23,5.84,47.61,4.94,46.65,11,45.18,6.2,44.36,18.2,30.04,7.1,68.4,18.5,56.48
"1358",6037124102,"Los Angeles",91601,-118.3833988,34.1757824,"Los Angeles",40.39,75.67,"75-80%",0.059,79.99,11.54609441,61.99,0.221,65.75,726.64,83.13,65.3,73.31,0,0,1069.741659,65.23,1173.706129,67.61,36.1,91.21,7,37.61,0.31,51.73,0,0,0.2,9.67,54.1,6.61,80.52,53.25,60.48,5,52.36,12.98,53.71,3551,9.38,81.19,9.43,50.8,35.06,3.6,0,4.98,5.55,58.95,6.12,63.88,22,68.25,11.7,67.72,47.2,78.77,1.5,3.21,32.6,93.99
"1359",6037124103,"Los Angeles",91606,-118.3834122,34.1884919,"Los Angeles",58.67,94.87,"90-95%",0.06,82.48,11.52811451,61.44,0.096,36.14,726.64,83.13,87.9,95.43,0,0,1059.480682,64.95,1112.586878,64.68,36.35,91.36,2.3,15.14,0.37,58.27,0,0,2.2,54.85,55.33,6.76,83.02,72.71,80.38,7.34,92.78,20.59,89.19,1950,12.87,72.62,14.51,65.33,24.36,2,0,7.13,1.18,83.72,8.68,95.76,34,84.32,25.9,93.11,55.5,87.63,5.2,46.99,28.5,87.88
"1360",6037124104,"Los Angeles",91606,-118.38341,34.1848613,"Los Angeles",51.47,89.42,"85-90%",0.06,82.48,11.52811451,61.44,0.102,37.81,726.64,83.13,63.87,71.47,0,0,1062.513316,65.02,840.8484564,47.11,36.1,91.21,0.3,2.11,0.285,47.41,0,0,2,52.9,50.28,6.14,71.05,72.71,80.38,6.57,84.53,20.59,89.19,2492,12.6,79.05,8.35,59.11,28.25,6.78,0,1.52,4.33,80.82,8.38,93.32,20.8,66.1,14.8,76.9,52.4,84.7,6.7,64.51,31.4,92.48
"1361",6037124105,"Los Angeles",91606,-118.3834061,34.1812289,"Los Angeles",36.97,70.54,"70-75%",0.06,82.48,11.52811451,61.44,0.102,37.81,726.64,83.13,68.51,77.14,0,0,1065.489319,65.07,666.4235404,33.43,36,91.04,0.3,2.11,0.215,37.88,0,0,1,35.72,47.82,5.84,64.46,37.89,37.72,6.17,78.56,10.1,30.75,2538,14.34,78.84,6.82,56.54,32.35,3.19,0.51,5.08,2.32,61.03,6.33,67.16,17.9,61.21,26.7,93.68,45.8,77.2,5.5,51.26,25.7,81.94
"1362",6037124201,"Los Angeles",91606,-118.3746763,34.1848664,"Los Angeles",53.26,91.07,"90-95%",0.06,82.48,11.51882074,61.19,0.252,70.28,726.64,83.13,72.95,82.44,0,0,1084.227356,65.55,874.7285841,49.49,38.25,92.83,3.5,23.44,0.53,71.14,0,0,3,63.67,57.95,7.08,87.72,68.88,77.6,5.11,55.38,19.44,85.72,3348,13.29,72.49,14.22,61.44,30.08,0.27,0,6.99,1.22,72.56,7.53,83.42,26.7,75.85,9.1,58.22,29.1,52.41,9.1,82.33,31.2,92.28
"1363",6037124203,"Los Angeles",91601,-118.374665,34.1776041,"Los Angeles",45.42,82.48,"80-85%",0.06,82.48,11.55022293,62.1,0.268,72.83,726.64,83.13,75.52,85.2,0,0,1075.098684,65.32,849.2805688,47.84,36.1,91.21,6,35.02,0.115,19.35,0,0,1,35.72,53.66,6.55,79.51,51.12,58.13,6.64,85.59,13.01,53.9,2384,8.6,80.03,11.37,56.92,33.22,1.93,0,5.83,2.1,66.82,6.93,75.62,24.8,72.94,10.7,64.41,45.2,76.43,5,44.35,25.2,80.75
"1364",6037124204,"Los Angeles",91601,-118.3746553,34.1739725,"Los Angeles",59.3,95.22,"95-100% (highest scores)",0.059,79.99,11.55022293,62.1,0.29,75.28,726.64,83.13,63.44,70.71,0,0,1078.439005,65.42,1005.527223,58.2,36.6,91.75,15,59.6,0.205,35.98,0,0,2,52.9,57.25,6.99,86.61,62.98,72.38,8.12,96.95,15.03,66.54,2192,6.8,83.21,9.99,55.47,30.25,3.19,0,5.11,5.98,81.78,8.48,94.31,29.7,79.79,13.1,71.67,50.6,82.54,12.1,92.4,39,98.25
